president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Donald Trump,All polls,9/27/2020,1/20/2017,1/22/2017,Gallup,B,1500,a,0.26232298,0,45,45,45.74501,43.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49253,77265,1/23/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/20/2017,1/22/2017,Morning Consult,B/C,1992,rv,0.6800286,0,46,37,45.33176,38.289078,NA,NA,http://static.politico.com/9b/13/82a3baf542ae9018e5b6e1008379/170103-topline-politico-v3-kd.pdf,49249,77261,1/23/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/20/2017,1/24/2017,Ipsos,B-,1632,a,0.15348115,0,42.1,45.2,43.204345000000004,43.87252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49426,77599,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/21/2017,1/23/2017,Gallup,B,1500,a,0.24284463,0,45,46,45.74501,44.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49262,77274,1/24/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/21/2017,1/25/2017,Ipsos,B-,1651,a,0.14153097,0,42.3,45.8,43.404345,44.47252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49425,77598,3/1/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/22/2017,1/24/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.20041139,0,57,43,51.530459,44.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49266,77278,1/25/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/20/2017,1/25/2017,Quinnipiac University,B+,1190,rv,1.5141716,0,36,44,37.610466,42.78758,NA,NA,https://poll.qu.edu/national/release-detail?ReleaseID=2415,49260,77272,1/26/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/22/2017,1/24/2017,Gallup,B,1500,a,0.22737954,0,46,45,46.74501,43.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49236,77248,1/25/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/23/2017,1/25/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,0.18584478,0,59,41,53.530459,42.513132,NA,TRUE,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49247,77259,1/26/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/23/2017,1/25/2017,Gallup,B,1500,a,0.21487688,0,46,45,46.74501,43.60928,NA,TRUE,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49245,77257,1/26/2017,00:45:20 27 Sep 2020
Donald Trump,All polls,9/27/2020,1/22/2017,1/26/2017,Ipsos,B-,1678,a,0.13288235,0,42.6,46.4,43.704345000000004,45.07252,NA,TRUE,http://polling.reuters.com/#poll/CP3_2/,49424,77597,3/1/2017,00:45:20 27 Sep 2020
